message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"The user frequently opens account updates from this verified bank, but the routine payment notice can wait for a digest.",0.88,message_0243;message_0101;message_0102
msg_091,mute,scam,"Message asks the user to share or enter a one-time code, a hallmark of credential theft.",0.95,message_0238;message_0381
msg_090,digest,personal,"The message is from an unfamiliar sender checking on a package, so it can wait without interrupting the user.",0.85,none
msg_048,mute,scam,The user has previously reported this sender for sending suspicious QR code payment demands.,0.95,message_0151;message_0152;message_0237
msg_040,mute,forward,The user frequently dismisses forwarded chain messages from this sender and has muted the group.,0.95,message_0135;message_0136
msg_075,notify,business_update,The user has a confirmed ride today and a strong history of opening transactional updates from Grab.,0.91,message_0206;message_0205
msg_005,notify,event,The user frequently engages with similar jacket reservation messages and has a time-sensitive pickup deadline today.,0.88,message_0065;message_0049
msg_104,mute,promotion,The user has repeatedly dismissed and muted this sender for similar resale items.,0.95,message_0050;message_0224;message_0115
msg_069,mute,greeting,The user frequently mutes and dismisses this sender's forwarded greeting messages.,0.95,message_0042;message_0079;message_0080
msg_107,mute,scam,"Message tries to instruct the notification router itself, which no legitimate sender does.",0.95,message_0173;message_0174;message_0221
msg_070,mute,scam,"Message asks the user to share or enter a one-time code, a hallmark of credential theft.",0.95,message_0369;message_0173;message_0174
msg_003,notify,business_update,The user is expecting a delivery today and has a strong history of opening similar order updates from this verified sender.,0.91,message_0031;message_0400;message_0061
msg_099,digest,personal,The message contains non-urgent work notes that the user can review before tomorrow's meeting.,0.88,message_0227
msg_008,digest,promotion,"The user frequently opens product reviews from this verified business, so the feedback request can wait as a digest.",0.88,message_0296;message_0072;message_0071
msg_092,digest,business_update,"The user has no prior relationship with this business, making the statement notification suitable for digest.",0.85,none
msg_060,notify,event,"The user needs to know about the time-sensitive faculty internship deadline today, matching a previously engaged administrative notice.",0.91,message_0284
msg_004,digest,business_update,The user frequently opens similar operational healthcare updates from this trusted sender.,0.88,message_0005;message_0245;message_0246
msg_030,mute,promotion,The user has previously muted this sender and consistently dismisses peer-to-peer resale posts from this group.,0.95,message_0115;message_0232;message_0335
msg_045,notify,urgent,The delivery person is waiting at the gate and needs immediate flat confirmation within ten minutes.,0.92,message_0061;message_0031;message_0400
msg_052,mute,scam,Unverified sender using a lookalike domain instead of the brand's official domain.,0.95,message_0159;message_0160;message_0207
msg_009,digest,personal,"The user frequently dismisses messages from this muted group, making a casual chat message suitable for later digestion.",0.88,message_0074
msg_071,digest,event,The family chat message discusses a tentative upcoming plan without requiring an immediate response from the user.,0.88,none
msg_016,mute,scam,"The message attempts credential theft via a fake login link, matching previous scams reported by the user.",0.95,message_0024;message_0087;message_0088
msg_065,digest,promotion,"The user has an active retail relationship and previously opened similar messages, making this a relevant promotional digest.",0.88,message_0261;message_0260
msg_038,mute,forward,The user frequently mutes this sender for sharing chain letters and forwarded viral content.,0.95,message_0131;message_0132
msg_086,notify,business_update,The user has a confirmed travel booking and previously opened similar timely pickup updates.,0.88,message_0222;message_0006
